case_id,scenario_id,split,document_ids,expected_consistency_status,expected_issues
validation-00047,legitimate_smartphone,validation,['validation-00047-invoice'],coherent,[]
validation-00048,forged_amount_pdf,validation,['validation-00048-invoice'],amount_mismatch,['forged_amount']
validation-00049,forged_identifier_scan,validation,['validation-00049-invoice'],siret_mismatch,['forged_supplier_identifier']
validation-00050,invoice_quote_mismatch,validation,"['validation-00050-invoice', 'validation-00050-quote']",amount_mismatch,['quote_invoice_amount_gap']
validation-00051,expired_attestation,validation,"['validation-00051-invoice', 'validation-00051-attestation']",expired_attestation,['attestation_expired']
validation-00052,attestation_siret_mismatch,validation,"['validation-00052-invoice', 'validation-00052-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
validation-00053,rib_mismatch,validation,"['validation-00053-invoice', 'validation-00053-rib']",rib_mismatch,['rib_supplier_name_mismatch']
validation-00054,missing_field_scan,validation,['validation-00054-invoice'],missing_field,['missing_due_date']
test-00055,legitimate_pdf,test,['test-00055-invoice'],coherent,[]
test-00056,legitimate_pdf,test,['test-00056-invoice'],coherent,[]
test-00057,legitimate_scan,test,['test-00057-invoice'],coherent,[]
test-00058,legitimate_scan,test,['test-00058-invoice'],coherent,[]
test-00059,legitimate_smartphone,test,['test-00059-invoice'],coherent,[]
test-00060,legitimate_smartphone,test,['test-00060-invoice'],coherent,[]
test-00061,forged_amount_pdf,test,['test-00061-invoice'],amount_mismatch,['forged_amount']
test-00062,forged_amount_pdf,test,['test-00062-invoice'],amount_mismatch,['forged_amount']
test-00063,forged_identifier_scan,test,['test-00063-invoice'],siret_mismatch,['forged_supplier_identifier']
test-00064,forged_identifier_scan,test,['test-00064-invoice'],siret_mismatch,['forged_supplier_identifier']
test-00065,invoice_quote_mismatch,test,"['test-00065-invoice', 'test-00065-quote']",amount_mismatch,['quote_invoice_amount_gap']
test-00066,invoice_quote_mismatch,test,"['test-00066-invoice', 'test-00066-quote']",amount_mismatch,['quote_invoice_amount_gap']
test-00067,expired_attestation,test,"['test-00067-invoice', 'test-00067-attestation']",expired_attestation,['attestation_expired']
test-00068,expired_attestation,test,"['test-00068-invoice', 'test-00068-attestation']",expired_attestation,['attestation_expired']
test-00069,attestation_siret_mismatch,test,"['test-00069-invoice', 'test-00069-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
test-00070,attestation_siret_mismatch,test,"['test-00070-invoice', 'test-00070-attestation']",siret_mismatch,['attestation_supplier_siret_mismatch']
test-00071,rib_mismatch,test,"['test-00071-invoice', 'test-00071-rib']",rib_mismatch,['rib_supplier_name_mismatch']
test-00072,rib_mismatch,test,"['test-00072-invoice', 'test-00072-rib']",rib_mismatch,['rib_supplier_name_mismatch']
test-00073,missing_field_scan,test,['test-00073-invoice'],missing_field,['missing_due_date']
test-00074,missing_field_scan,test,['test-00074-invoice'],missing_field,['missing_due_date']
